SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-7.00024,0.0482946,0.0131884,0.0416307,0.0622486,0.0761107,0.0527566,0.0159306,0.0415975,0.0686369,0.0848613,0.931651,0.937866,0.937663,0.933105,0.917969
-6.00024,0.0742828,0.0207053,0.0653665,0.092773,0.118286,0.0779717,0.0260301,0.0669584,0.100926,0.117973,0.929698,0.935913,0.933757,0.931152,0.917969
-5.00024,0.113674,0.0334802,0.101361,0.138477,0.181377,0.120091,0.0434906,0.107699,0.151276,0.177899,0.926982,0.936279,0.934245,0.924805,0.912598
-4.00024,0.170933,0.0538455,0.153783,0.204714,0.271388,0.174763,0.057388,0.151912,0.208903,0.280848,0.924754,0.933716,0.935221,0.922363,0.907715
-3.00024,0.251787,0.0842562,0.228123,0.3,0.394768,0.269504,0.0956549,0.257501,0.331713,0.393146,0.916707,0.929443,0.92513,0.909424,0.902832
-2.00024,0.36104,0.129963,0.330528,0.430514,0.553154,0.393825,0.151977,0.35917,0.498613,0.565541,0.906982,0.923828,0.915527,0.89502,0.893555
-1.00024,0.502339,0.196937,0.471827,0.597057,0.743535,0.550453,0.284157,0.534019,0.654685,0.72895,0.888234,0.91687,0.888997,0.882324,0.864746
-0.000241225,0.674581,0.295491,0.643419,0.795648,0.963765,0.761979,0.486175,0.736444,0.883436,0.941861,0.862671,0.907715,0.864258,0.85791,0.820801
0.999759,0.876976,0.437623,0.852825,1.01345,1.204,1.02251,0.761596,0.986994,1.12204,1.2194,0.839274,0.884766,0.847819,0.835449,0.789062
1.99976,1.11638,0.658514,1.10296,1.24303,1.46103,1.28793,1.04112,1.2504,1.36181,1.49841,0.80188,0.858398,0.804199,0.806152,0.73877
2.99976,1.38406,0.930211,1.40112,1.47507,1.72984,1.55253,1.32235,1.51124,1.63707,1.73945,0.756165,0.821533,0.750488,0.766113,0.686523
3.99976,1.67885,1.27108,1.67737,1.76464,2.00231,1.85896,1.62953,1.80332,1.94024,2.06275,0.692993,0.774658,0.690918,0.693115,0.613281
4.99976,2.0059,1.64557,1.9695,2.13057,2.27796,2.13537,1.90663,2.0895,2.22144,2.32393,0.609924,0.695801,0.62207,0.587646,0.53418
5.99976,2.31756,1.98494,2.26228,2.44449,2.57853,2.43979,2.21556,2.38494,2.52228,2.63637,0.520935,0.618896,0.540527,0.491699,0.432617
6.99976,2.62729,2.28969,2.5592,2.74566,2.9146,2.73373,2.50051,2.68012,2.82062,2.93365,0.420715,0.530029,0.442871,0.38916,0.320801
7.99976,2.93446,2.59597,2.86465,3.05082,3.22641,3.04117,2.807,2.9829,3.12878,3.24599,0.320791,0.441284,0.350911,0.280029,0.210938
8.99976,3.24741,2.89545,3.17141,3.36776,3.55504,3.35005,3.11992,3.2921,3.43014,3.55804,0.223226,0.347168,0.246908,0.182617,0.116211
9.99976,3.56258,3.21122,3.50912,3.70616,3.82383,3.67518,3.46545,3.64401,3.76361,3.82763,0.121592,0.23645,0.131022,0.0749512,0.0439453
10.9998,3.87619,3.67975,3.91569,3.94276,3.96655,3.94275,3.9175,3.93394,3.95745,3.96213,0.0325419,0.088501,0.0211589,0.0126953,0.0078125
11.9998,3.99598,3.99226,3.9995,3.99505,3.9971,3.99551,3.99371,3.99695,3.99558,3.99581,0.00145467,0.00256348,0.000813802,0.00195312,0.000488281
12.9998,3.99988,3.99951,4,4,4,3.99994,3.99996,3.99996,3.9999,3.99994,6.10352e-05,0.000244141,0,0,0
13.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
14.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
15.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
16.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
17.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
