SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-7.00183,0.0285772,0.024685,0.0277827,0.031191,0.0306501,0.0270829,0.0191723,0.0257528,0.0319341,0.0314723,0.932587,0.935425,0.934082,0.935547,0.925293
-6.00183,0.0439564,0.0380358,0.0434279,0.0467687,0.0475932,0.0413449,0.0341325,0.042313,0.0466627,0.0422715,0.931091,0.935059,0.933594,0.936279,0.919434
-5.00183,0.0674186,0.0589515,0.0670943,0.0699953,0.0736334,0.0657982,0.0594913,0.067935,0.0704652,0.0653013,0.930603,0.932617,0.933594,0.932861,0.92334
-4.00183,0.10208,0.0897081,0.101893,0.104234,0.112485,0.0962002,0.0854427,0.0919556,0.0935981,0.113804,0.928385,0.930908,0.931315,0.93042,0.920898
-3.00183,0.152325,0.133432,0.152214,0.153831,0.169824,0.152056,0.138992,0.156146,0.154176,0.158911,0.92629,0.927734,0.931478,0.928955,0.916992
-2.00183,0.221983,0.194156,0.22109,0.221882,0.250804,0.227072,0.199705,0.211939,0.249234,0.24741,0.918376,0.920166,0.922526,0.922607,0.908203
-1.00183,0.313855,0.270672,0.310469,0.313461,0.360817,0.3175,0.290228,0.31023,0.331138,0.338406,0.909983,0.913208,0.916178,0.911133,0.899414
-0.00182897,0.429224,0.363276,0.42005,0.42938,0.504189,0.443444,0.396574,0.427589,0.476265,0.473348,0.898804,0.902344,0.905762,0.900879,0.88623
0.998171,0.566713,0.472107,0.547686,0.568385,0.678673,0.615629,0.547933,0.593232,0.643922,0.677431,0.882131,0.890259,0.888997,0.880127,0.869141
1.99817,0.729406,0.617635,0.689598,0.729311,0.881078,0.805026,0.710444,0.786197,0.824922,0.89854,0.861623,0.870728,0.86849,0.86499,0.842285
2.99817,0.910642,0.78103,0.855081,0.899372,1.10708,1.01226,0.911788,0.992434,1.04937,1.09545,0.834117,0.848267,0.837077,0.843018,0.808105
3.99817,1.12682,0.936573,1.14503,1.07989,1.34578,1.26885,1.14732,1.23496,1.31385,1.37926,0.804301,0.828369,0.792155,0.824707,0.771973
4.99817,1.37198,1.15857,1.37704,1.35938,1.59294,1.51307,1.38663,1.48542,1.5684,1.61185,0.762939,0.790039,0.755371,0.778809,0.727539
5.99817,1.64105,1.36976,1.62149,1.7273,1.84565,1.7878,1.64949,1.75479,1.84373,1.90318,0.703715,0.755615,0.708659,0.680664,0.669922
6.99817,1.89787,1.60389,1.87698,2.01229,2.09834,2.06001,1.90308,2.02911,2.12152,2.18633,0.640198,0.703857,0.645508,0.614746,0.59668
7.99817,2.18886,1.85153,2.14959,2.30144,2.45288,2.35339,2.19324,2.31655,2.41608,2.4877,0.559774,0.650879,0.577474,0.528809,0.481934
8.99817,2.47388,2.10708,2.42054,2.5958,2.77209,2.64556,2.48371,2.60202,2.698,2.79853,0.478587,0.584351,0.503581,0.439697,0.386719
9.99817,2.7561,2.31357,2.73497,2.89488,3.08097,2.95227,2.77773,2.8984,3.0196,3.11333,0.384745,0.525391,0.407389,0.338135,0.268066
10.9982,3.06478,2.6366,3.03014,3.19696,3.39541,3.26199,3.08076,3.20302,3.33735,3.42682,0.283203,0.424316,0.303223,0.23584,0.169434
11.9982,3.36237,2.89947,3.32562,3.52168,3.70273,3.5675,3.40439,3.54739,3.62695,3.69129,0.186228,0.336304,0.197428,0.138428,0.0727539
12.9982,3.65674,3.16354,3.70617,3.84519,3.91208,3.85273,3.80003,3.85358,3.8657,3.89162,0.0981954,0.244995,0.0882161,0.0390625,0.0205078
13.9982,3.8454,3.42683,3.98986,3.97665,3.98826,3.98317,3.98007,3.97963,3.98674,3.98624,0.0453389,0.165894,0.00569661,0.00683594,0.00292969
14.9982,3.96972,3.88014,3.99978,3.9994,3.99955,3.99689,3.998,3.99674,3.99575,3.99706,0.00886027,0.0350342,0.00016276,0.000244141,0
15.9982,4,4,4,4,4,3.99998,4,4,4,3.99991,0,0,0,0,0
16.9982,3.9375,4,4,4,3.75,4,4,4,4,4,0.00012207,0,0,0,0.000488281
17.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
